set,pair,n_rep,ns_per_rep,bound_frac,bound_frac_ci95,n_episodes,episodes_per_us,tau_mean_ns,tau_median_ns,tau_survival_ns,tau_p95_ns,tau_max_ns
ternary_docked,parp14-dtx3l,5,475.0,0.2343,0.2109,993,418.1,0.56,0.1,0.561,1.1,278.45
p14_homo,parp14-parp14,5,475.0,0.1829,0.0348,1318,554.9,0.33,0.15,0.33,1.25,7.35
p14_dtx3l,parp14-dtx3l,5,475.0,0.1517,0.0294,1304,549.1,0.276,0.15,0.276,1.05,7.85
ternary,parp14-parp9,5,475.0,0.1351,0.0379,916,385.7,0.35,0.15,0.35,1.26,10.15
p14_p9,parp14-parp9,5,475.0,0.1259,0.0568,911,383.6,0.328,0.1,0.328,1.43,8.3
ternary_docked,parp14-parp9,5,475.0,0.1214,0.0356,913,384.4,0.316,0.1,0.316,1.25,5.9
p14_dtx3l_docked,parp14-dtx3l,5,475.0,0.1192,0.0115,1068,449.7,0.265,0.1,0.265,0.9,4.2
p14_p9_docked,parp14-parp9,5,475.0,0.1147,0.0412,834,351.2,0.327,0.1,0.327,1.27,8.25
ternary,parp14-dtx3l,5,475.0,0.0975,0.0389,966,406.7,0.24,0.1,0.24,0.85,3.15
p9_dtx3l_docked,parp9-dtx3l,5,475.0,0.0863,0.0213,825,347.4,0.248,0.1,0.248,0.95,4.05
p9_dtx3l,parp9-dtx3l,7,475.0,0.083,0.0348,1008,303.2,0.274,0.1,0.274,1.05,5.2
ternary,parp9-dtx3l,5,475.0,0.0791,0.0241,767,322.9,0.245,0.1,0.245,0.9,3.3
dtx3l_homo_docked,dtx3l-dtx3l,5,475.0,0.068,0.0258,688,289.7,0.235,0.1,0.235,0.8,8.2
dtx3l_homo,dtx3l-dtx3l,5,475.0,0.0639,0.0207,718,302.3,0.211,0.1,0.211,0.7,2.85
p9_homo,parp9-parp9,5,475.0,0.0633,0.0277,569,239.6,0.264,0.1,0.264,1.0,6.85
ternary_docked,parp9-dtx3l,5,475.0,0.0596,0.0214,623,262.3,0.227,0.1,0.227,0.75,3.05
