structure,seed,ptm,iptm,ranking_score,has_clash,mean_plddt,num_residues,very_high_conf,confident,low_conf,very_low_conf,fraction_very_high,fraction_confident,fraction_low,fraction_very_low
kh1_kh2_kh3_kh4_kh5_kh6,seed-1_sample-0,0.67,,0.67,,86.91524531621515,423,205,200,18,0,0.4846335697399527,0.4728132387706856,0.0425531914893617,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-1_sample-1,0.66,,0.66,,86.87332757070872,423,206,197,20,0,0.48699763593380613,0.4657210401891253,0.04728132387706856,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-1_sample-2,0.66,,0.66,,86.85164729616318,423,205,198,20,0,0.4846335697399527,0.46808510638297873,0.04728132387706856,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-1_sample-3,0.67,,0.67,,87.06068834494901,423,210,193,20,0,0.49645390070921985,0.4562647754137116,0.04728132387706856,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-1_sample-4,0.67,,0.67,,86.83292029634403,423,203,201,19,0,0.4799054373522459,0.475177304964539,0.04491725768321513,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-2_sample-0,0.66,,0.66,,86.96145981002189,423,207,197,19,0,0.48936170212765956,0.4657210401891253,0.04491725768321513,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-2_sample-1,0.66,,0.66,,87.01478789840316,423,210,193,20,0,0.49645390070921985,0.4562647754137116,0.04728132387706856,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-2_sample-2,0.67,,0.67,,86.86382502328242,423,203,202,18,0,0.4799054373522459,0.47754137115839246,0.0425531914893617,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-2_sample-3,0.67,,0.67,,86.72065976294532,423,205,199,19,0,0.4846335697399527,0.47044917257683216,0.04491725768321513,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-2_sample-4,0.66,,0.66,,86.84908812116441,423,202,204,17,0,0.47754137115839246,0.48226950354609927,0.04018912529550828,0.0
kh1_kh2_kh3_kh4_kh5_kh6,seed-3_sample-0,0.66,,0.66,,86.72786276732197,423,197,208,18,0,0.4657210401891253,0.491725768321513,0.0425531914893617,0.0
