target,trajectory,length,seq_idx,guess,model,pLDDT,pTM,i_pTM,pAE,i_pAE
md1_block_af3,md1_block_af3_l70_s570983,70,0,0,1,0.631,0.801,0.17,0.791,0.886
md1_block_af3,md1_block_af3_l70_s570983,70,0,0,2,0.896,0.81,0.141,0.768,0.886
md1_block_af3,md1_block_af3_l70_s570983,70,1,0,1,0.708,0.8,0.174,0.778,0.883
md1_block_af3,md1_block_af3_l70_s570983,70,1,0,2,0.817,0.81,0.145,0.778,0.893
md1_block_af3,md1_block_af3_l70_s570983,70,2,0,1,0.578,0.799,0.163,0.806,0.896
md1_block_af3,md1_block_af3_l70_s570983,70,2,0,2,0.869,0.808,0.136,0.777,0.896
md1_block_af3,md1_block_af3_l70_s570983,70,3,0,1,0.708,0.801,0.164,0.79,0.894
md1_block_af3,md1_block_af3_l70_s570983,70,3,0,2,0.834,0.812,0.149,0.766,0.881
md1_block_af3,md1_block_af3_l70_s570983,70,4,0,1,0.775,0.801,0.18,0.768,0.878
md1_block_af3,md1_block_af3_l70_s570983,70,4,0,2,0.764,0.809,0.139,0.788,0.9
md1_block_af3,md1_block_af3_l71_s444726,71,0,0,1,0.81,0.8,0.158,0.792,0.904
md1_block_af3,md1_block_af3_l71_s444726,71,0,0,2,0.812,0.807,0.122,0.813,0.93
md1_block_af3,md1_block_af3_l71_s444726,71,1,0,1,0.825,0.801,0.168,0.779,0.891
md1_block_af3,md1_block_af3_l71_s444726,71,1,0,2,0.815,0.807,0.122,0.811,0.928
md1_block_af3,md1_block_af3_l71_s444726,71,2,0,1,0.832,0.8,0.158,0.787,0.9
md1_block_af3,md1_block_af3_l71_s444726,71,2,0,2,0.841,0.807,0.12,0.809,0.928
md1_block_af3,md1_block_af3_l71_s444726,71,3,0,1,0.82,0.8,0.16,0.787,0.9
md1_block_af3,md1_block_af3_l71_s444726,71,3,0,2,0.826,0.807,0.129,0.804,0.922
md1_block_af3,md1_block_af3_l71_s444726,71,4,0,1,0.818,0.8,0.157,0.792,0.905
md1_block_af3,md1_block_af3_l71_s444726,71,4,0,2,0.825,0.807,0.12,0.815,0.933
md1_block_af3,md1_block_af3_l72_s6692,72,0,0,1,0.826,0.799,0.171,0.766,0.88
md1_block_af3,md1_block_af3_l72_s6692,72,0,0,2,0.836,0.807,0.139,0.783,0.902
md1_block_af3,md1_block_af3_l72_s6692,72,1,0,1,0.829,0.8,0.182,0.763,0.877
